Energy_Consumption,Reference,Heating,Country,City,Zone,Energy_Class,Publish_date,Sale_Price,Floor,Street,Bedrooms,Elevator,Bathrooms,Year_Construction,Surface,Autonomous_Community,Contrat,Property_Type
132 kWh/m&sup2; año,586526,,es,Santa Cruz De Tenerife,Cruz Del Señor,g,2024-06-19 21:41:27,210000,Baja,C. Ramón Trujillo Torres,2 dorm.,,2 baños,1994,105.00,Canarias,venta,Media
52 kWh/m&sup2; año,599044,,es,Santa Cruz De Tenerife,Cruz Del Señor,e,2024-10-28 14:34:04,175000,2 (planta media),Alcalde mandillo tejera,3 dorm.,,1 baño,1974,97.00,Canarias,venta,Señorial
110 kWh/m&sup2; año,594549,,es,Santa Cruz De Tenerife,Santa Cruz De Tenerife,g,2024-10-15 19:44:00,205000,Baja,C. Porlier,3 dorm.,,1 baño,1900,115.00,Canarias,venta,Popular
132 kWh/m&sup2; año,589656,,es,Santa Cruz De Tenerife,La Salle,g,2024-07-31 17:39:11,288000,3 (planta media),C. Jorge Manrique,3 dorm.,Sí,2 baños,1971,97.00,Canarias,venta,Popular
132 kW h/m&sup2; año,599103,,es,Santa Cruz De Tenerife,La Salle,g,2024-10-25 19:06:03,174000,6,C. Tirso de Molina,1 dorm.,,1 baño,1970,47.00,Canarias,venta,Media
120 kW h/m&sup2; año,596204,,es,Santa Cruz De Tenerife,Santa Cruz De Tenerife,g,2024-10-11 12:44:57,285000,Media,Rbla. de Sta. Cruz,3 dorm.,,2 baños,1986,86.00,Canarias,venta,Popular
147 kW h/m&sup2; año,585517,,es,Santa Cruz De Tenerife,Santa Cruz De Tenerife,g,2024-07-01 10:21:23,379000,1 (planta media),Av. de Madrid,4 dorm.,Sí,2 baños,2001,109.00,Canarias,venta,Media
147 kWh/m&sup2; año,587787,,es,Santa Cruz De Tenerife,Santa Cruz De Tenerife,g,2024-10-04 18:57:03,299000,1 (planta baja),Av. de Madrid,2 dorm.,Sí,2 baños,2001,112.00,Canarias,venta,Media
50 kW h/m&sup2; año,586185,,es,Santa Cruz De Tenerife,Santa Cruz De Tenerife,d,2024-07-31 12:40:54,149900,,C. Verderón,3 dorm.,,2 baños,2006,97.00,Canarias,venta,Popular
134 kW h/m&sup2; año,587032,,es,Santa Cruz De Tenerife,Santa Cruz De Tenerife,g,2024-07-10 21:32:24,250000,1 (planta baja),Calle Lope de Vega,3 dorm.,,2 baños,1964,107.00,Canarias,venta,De época
120 kW h/m&sup2; año,582528,,es,Santa Cruz De Tenerife,Santa Cruz De Tenerife,f,2024-05-15 14:49:16,210000,Baja,C. el Winche,4 dorm.,Sí,2 baños,2004,134.00,Canarias,venta,Popular
,570698,,es,Santa Cruz De Tenerife,Cruz Del Señor,,2024-03-12 10:53:35,198000,3 (planta media),C. Desiré Dugour,3 dorm.,,,1973,95.00,Canarias,venta,Popular
"292,0 kWh/m&sup2; año",598730,Independiente,es,Valladolid,Pajarillos ,f,2024-10-31 20:26:06,79900,2,Calle Zorzal,3 dorm.,,1 baño,1970,86.00,Castilla Y León,venta,Popular
"304,85 kWh/m&sup2; año",587640,,es,Valladolid,Delicias,e,2024-07-01 19:04:55,97500,2 (planta media),C. de San Isidro,4 dorm.,,1 baño,1964,100.00,Castilla Y León,venta,Media
261 kW h/m&sup2; año,589620,Independiente,es,Valladolid,Pajarillos ,e,2024-10-31 12:37:19,74900,1,Calle Gallo,3 dorm.,,1 baño,1970,78.00,Castilla Y León,venta,Media
"264,9 kWh/m&sup2; año",594761,,es,Valladolid,La Rondilla,e,2024-09-24 19:50:33,94900,1,Calle Lope de Vega,3 dorm.,Sí,1 baño,1967,83.00,Castilla Y León,venta,Popular
"281,1 kWh/m&sup2; año",595855,centralizada (Gas),es,Valladolid,Vadillo - Batallas,e,2024-10-16 16:59:13,198000,,Calle Huelgas,4 dorm.,Sí,2 baños,1972,110.00,Castilla Y León,venta,Popular
"405,3 kW h/m&sup2; año",598033,,es,Valladolid,Arturo Eyries,g,2024-10-25 20:31:19,59900,,Calle Ecuador,3 dorm.,Sí,1 baño,1981,110.00,Castilla Y León,venta,Popular
"250,9 kWh/m&sup2; año",597523,,es,Valladolid,Centro Ciudad,e,2024-10-30 18:01:08,98000,Media,C. Veinte de Febrero,1 dorm.,,1 baño,1972,94.00,Castilla Y León,venta,Popular
"314,8 kW h/m&sup2; año",599025,Independiente (Gas),es,Valladolid,Delicias,f,2024-10-28 18:44:09,50000,Alta,C/ Ebro,3 dorm.,Sí,1 baño,1969,69.00,Castilla Y León,venta,Media
"244,7 kW h/m&sup2; año",599447,Independiente (Gas),es,Valladolid,Delicias,e,2024-10-30 13:48:00,83000,2,C. Celtas Cortos,3 dorm.,Sí,1 baño,1970,70.00,Castilla Y León,venta,Popular
"104,82 kW h/m&sup2; año",585574,,es,Valladolid,Delicias,e,2024-06-18 18:24:53,65000,Baja,C. Gral. Shelly,3 dorm.,Sí,1 baño,1970,62.00,Castilla Y León,venta,Popular
142 kW h/m&sup2; año,505770,centralizada (Gas),es,Valladolid,Centro Ciudad,c,2024-10-30 13:19:56,379900,14,P.º Isabel la Catolica,4 dorm.,Sí,2 baños,1973,163.00,Castilla Y León,venta,Señorial
"95,7 kWh/m&sup2; año",551279,,es,Valladolid,Puente Jardín,e,2024-03-08 20:25:23,156000,1,Calle Villanubla,4 dorm.,,1 baño,1976,154.00,Castilla Y León,venta,Popular
"222,7 kWh/m&sup2; año",597693,Independiente (Gas),es,Valladolid,Hospital - Universidad,e,2024-10-23 20:47:20,199900,6 (planta alta),C. de Sta. Clara,4 dorm.,,2 baños,1974,125.00,Castilla Y León,venta,Popular
"284,20 kWh/m&sup2; año",592146,Independiente (Gas),es,Valladolid,La Rondilla,f,2024-08-29 13:03:37,99900,5,Calle de Portillo de Balboa,3 dorm.,,1 baño,1978,90.00,Castilla Y León,venta,Popular
"390,1 kW h/m&sup2; año",572373,Independiente (Gas),es,Valladolid,La Rondilla,g,2024-08-27 12:41:15,93000,,C. del Amor de Dios,3 dorm.,,1 baño,1969,76.00,Castilla Y León,venta,Popular
"224,7 kW h/m&sup2; año",598903,,es,Toledo,Palomarejos,e,2024-10-24 13:03:10,59900,,C. Pablo Neruda,,,,1956,37.00,Castilla-La Mancha,venta,Media
"259,7 kW h/m&sup2; año",599119,"Independiente (Eléctrica, Radiadores)",es,Toledo,Casco Histórico,f,2024-10-28 17:29:57,129990,,C. Plata,1 dorm.,,1 baño,1900,51.00,Castilla-La Mancha,venta,Popular
"103,9 kWh/m&sup2; año",581943,Independiente (Gas),es,Toledo,Buenavista - Av. Irlanda,d,2024-05-09 10:07:35,304900,1,C. Reino Unido,3 dorm.,,2 baños,1999,120.00,Castilla-La Mancha,venta,Popular
"178,0 kWh/m&sup2; año",573371,Independiente,es,Toledo,Casco Histórico,e,2024-08-10 11:34:22,130000,,C. Sacramento,3 dorm.,,1 baño,1960,103.00,Castilla-La Mancha,venta,Media
"130,3 kW h/m&sup2; año",598227,Independiente (Gas),es,Toledo,Polígono S.m. Benquerencia,e,2024-10-24 19:34:39,159900,,C. Laguna de Arcas,3 dorm.,Sí,2 baños,2011,104.00,Castilla-La Mancha,venta,Popular
"118,7 kW h/m&sup2; año",589323,,es,Toledo,Santa Barbara,e,2024-10-10 13:36:31,114990,3,C. Tejar,3 dorm.,,2 baños,2010,134.00,Castilla-La Mancha,venta,Media
"90,5 kW h/m&sup2; año",599229,Independiente (Gas),es,Toledo,Polígono S.m. Benquerencia,d,2024-10-25 21:00:15,179900,3,Av. del Río Boladiez,3 dorm.,,2 baños,2007,104.00,Castilla-La Mancha,venta,Media
"226,2 kWh/m&sup2; año",503021,Independiente (Eléctrica),es,Toledo,Palomarejos,e,2024-10-22 12:35:09,99900,,C. Madre Teresa de Calcuta,3 dorm.,,1 baño,1960,59.00,Castilla-La Mancha,venta,Media
"125,6 kW h/m&sup2; año",596019,,es,Toledo,Santa Barbara,e,2024-10-23 10:53:20,114990,,C. de los Estudios,2 dorm.,,1 baño,2006,98.00,Castilla-La Mancha,venta,Media
"151,0 kW h/m&sup2; año",583086,Independiente (Gas),es,Toledo,Avenida De Europa - San Antón - Plaza De Toros,e,2024-05-22 12:23:56,359990,,Av. de Europa,4 dorm.,,3 baños,1991,196.00,Castilla-La Mancha,venta,Media
"137,4 kW h/m&sup2; año",579310,Independiente (Gas),es,Toledo,Avenida De Europa - San Antón - Plaza De Toros,e,2024-07-31 19:41:45,299900,,C. Huérfanos Cristinos,3 dorm.,Sí,3 baños,2001,160.00,Castilla-La Mancha,venta,Señorial
85 kWh/m&sup2; año,598270,,es,Toledo,Santa Barbara,d,2024-10-17 19:39:04,114990,2,Paseo de la Rosa,3 dorm.,,1 baño,1980,90.00,Castilla-La Mancha,venta,Media
110 kWh/m&sup2; año,585277,,es,Toledo,Santa Barbara,e,2024-06-27 19:51:25,194990,4,P.º de la Rosa,5 dorm.,,2 baños,2000,140.00,Castilla-La Mancha,venta,Popular
"281,1 kWh/m&sup2; año",587263,Independiente (Gas),es,Toledo,Casco Histórico,g,2024-06-26 18:08:04,115000,1,C. de la Merced,2 dorm.,,1 baño,1880,87.00,Castilla-La Mancha,venta,Media
"119,7 kWh/m&sup2; año",594578,,es,Toledo,Casco Histórico,d,2024-09-16 20:20:44,119990,,Plaza de la Merced,1 dorm.,,1 baño,2008,60.00,Castilla-La Mancha,venta,Popular
94 kWh/m&sup2; año,582110,,es,Barcelona,Nova Esquerra De L'Eixample (Alta),d,2024-05-10 20:00:12,530000,8 (planta ático),Carrer del Consell de Cent,3 dorm.,Sí,1 baño,1979,79.00,Cataluña,venta,Popular
293 kWh/m&sup2; año,582471,centralizada (Aéreo Termo),es,Barcelona,Nova Esquerra De L'Eixample (Alta),g,2024-09-25 20:10:02,545000,7 (planta ático),Carrer del Comte Borrell,2 dorm.,Sí,1 baño,1966,90.00,Cataluña,venta,Popular
,592256,Independiente (Gas),es,Barcelona,Nova Esquerra De L'Eixample (Alta),,2024-09-25 20:09:45,309000,3 (planta media),Carrer de la Diputació,2 dorm.,Sí,1 baño,1976,65.00,Cataluña,venta,Media
207 kWh/m&sup2; año,597185,,es,Barcelona,Nova Esquerra De L'Eixample (Alta),e,2024-10-10 12:58:53,325000,4 (planta media),Carrer de Rocafort,3 dorm.,,1 baño,1969,83.00,Cataluña,venta,Popular
,599819,Independiente (Gas),es,Barcelona,La Dreta De L'Eixample,,2024-10-31 19:53:22,540000,3 (planta media),Passeig de Sant Joan,2 dorm.,,1 baño,1940,93.00,Cataluña,venta,Señorial
170 kW h/m&sup2; año,590445,,es,Barcelona,Plaça De Sants,e,2024-08-05 19:46:48,259000,3,Carrer de Premià,4 dorm.,,1 baño,1910,78.00,Cataluña,venta,Media
166 kW h/m&sup2; año,598615,,es,Barcelona,Hostafrancs,e,2024-10-21 11:45:28,260000,3 (planta ático),Carrer de la Creu Coberta,4 dorm.,,1 baño,1900,70.00,Cataluña,venta,De época
999 kW h/m&sup2; año,599799,,es,Barcelona,La Prosperitat,g,2024-10-31 19:50:03,205000,1,Carrer de Pablo Iglesias,,Sí,,1962,66.00,Cataluña,venta,De época
185 kW h/m&sup2; año,599744,Independiente (Gas),es,Barcelona,Hostafrancs,e,2024-10-31 16:53:22,390000,,Carrer del Príncep Jordi,4 dorm.,,1 baño,1969,127.00,Cataluña,venta,Media
273 kWh/m&sup2; año,556775,,es,Barcelona,Plaça Maragall,g,2024-08-23 19:01:45,185000,2 (planta media),Carrer de Campo Florido,3 dorm.,,1 baño,1960,81.00,Cataluña,venta,Popular
136 kWh/m&sup2; año,596730,,es,Barcelona,La Pau,e,2024-10-03 17:49:31,220000,7 (planta alta),Avinguda de Les Corts Catalanes,4 dorm.,Sí,1 baño,1968,81.00,Cataluña,venta,Media
185 kWh/m&sup2; año,599721,,es,Barcelona,Plaça De Sants,e,2024-10-31 17:33:00,330000,,C/ de Sant Jordi,3 dorm.,,1 baño,1924,79.00,Cataluña,venta,Media
269 kW h/m&sup2; año,594228,Independiente (Gas),es,Barcelona,Verdun,e,2024-10-31 19:07:27,295000,5,Carrer de Viladrosa,3 dorm.,Sí,1 baño,1968,78.00,Cataluña,venta,Popular
120 kWh/m&sup2; año,596544,Independiente (Gas),es,Barcelona,Les Corts - Diagonal,e,2024-10-24 20:25:54,390000,4 (planta media),Travessera de les Corts,4 dorm.,Sí,2 baños,1967,82.00,Cataluña,venta,Media
36 kWh/m&sup2; año,599451,,es,Barcelona,Sants-Montjuic,e,2024-10-31 17:37:46,350000,3 (planta alta),Carrer de Portugalete,4 dorm.,,1 baño,1978,80.00,Cataluña,venta,Media
"104,09 kWh/m&sup2; año",595459,,es,Tarragona,,e,2024-10-16 10:50:25,145000,4 (planta alta),Carrer de Misericòrdia,3 dorm.,,1 baño,1971,80.00,Cataluña,venta,Media
19 kWh/m&sup2; año,594867,Independiente,es,Tarragona,Tarragona,c,2024-09-17 13:25:24,50000,7,Avinguda de Ramón y Cajal,3 dorm.,,1 baño,1967,94.00,Cataluña,venta,Media
106 kW h/m&sup2; año,587883,centralizada (Gas),es,Tarragona,Tarragona,e,2024-07-10 10:59:40,190000,4 (planta media),Carrer Higini Anglès,4 dorm.,Sí,1 baño,1975,112.00,Cataluña,venta,Media
105 kWh/m&sup2; año,596623,Independiente (Termo Ventilación),es,Tarragona,,e,2024-10-10 17:32:38,175000,1 (planta media),Violant De Hungría,3 dorm.,Sí,2 baños,1994,102.00,Cataluña,venta,Popular
157 kWh/m&sup2; año,599332,,es,Tarragona,,e,2024-10-28 11:27:11,65000,,Bloc Sant Jordi,2 dorm.,,1 baño,1969,70.00,Cataluña,venta,Media
150 kW h/m&sup2; año,599334,,es,Tarragona,,e,2024-10-28 11:30:18,60000,,Bloc Sant Mateu,3 dorm.,,,1969,70.00,Cataluña,venta,Media
103 kW h/m&sup2; año,594501,,es,Tarragona,Torreforta,e,2024-09-17 13:29:50,110000,,C/ Illes Balears,3 dorm.,,1 baño,1970,76.00,Cataluña,venta,Popular
105 kWh/m&sup2; año,586867,,es,Tarragona,,f,2024-06-28 09:59:03,129000,,Carrer d'en Goya,3 dorm.,,1 baño,1962,80.00,Cataluña,venta,Media
270 kWh/m&sup2; año,584050,Independiente (Gas),es,Madrid,Alto Extremadura - Paseo Extremadura,e,2024-06-27 20:56:45,240000,1 (planta media),C/ de los Sagrados Corazones,3 dorm.,Sí,2 baños,1961,76.00,Comunidad De Madrid,venta,Media
187 kWh/m&sup2; año,599864,,es,Madrid,,e,2024-10-31 20:50:00,80000,1 (planta media),Calle Pico de la Maliciosa,1 dorm.,,,1930,27.00,Comunidad De Madrid,venta,Popular
248 kWh/m&sup2; año,597087,,es,Madrid,Valdezarza,e,2024-10-30 13:28:06,330000,2,Calle de Valderrey,3 dorm.,Sí,1 baño,1965,79.00,Comunidad De Madrid,venta,Media
"242,7 kW h/m&sup2; año",599247,Independiente,es,Madrid,Moratalaz,e,2024-10-31 18:58:19,215000,1,C. de Arroyo de Fontarrón,2 dorm.,,1 baño,1970,58.00,Comunidad De Madrid,venta,Popular
,599069,,es,Madrid,Puerta Toledo,,2024-10-31 19:29:50,599900,,C/ de la Ribera de Curtidores,,Sí,2 baños,1993,144.00,Comunidad De Madrid,venta,Media
,597719,centralizada (A Gasoil),es,Madrid,Ciudad De Los Angeles,,2024-10-14 18:52:22,285000,1,Calle Arama,3 dorm.,,2 baños,1979,112.00,Comunidad De Madrid,venta,Media
380 kWh/m&sup2; año,597882,Independiente (Gas),es,Madrid,Aluche,g,2024-10-31 19:10:29,210000,,Calle los Yébenes,2 dorm.,Sí,1 baño,1965,65.00,Comunidad De Madrid,venta,Popular
350 kWh/m&sup2; año,599463,centralizada (Radiadores),es,Madrid,Aluche,f,2024-10-31 10:49:42,275000,,Calle de Ocaña,2 dorm.,Sí,1 baño,1970,71.00,Comunidad De Madrid,venta,Popular
341 kWh/m&sup2; año,598292,Independiente (Eléctrica),es,Madrid,Moratalaz,g,2024-10-21 09:15:25,259000,3,C. del Corregidor Juan Francisco de Luján,3 dorm.,,1 baño,1962,72.00,Comunidad De Madrid,venta,Popular
196 kWh/m&sup2; año,588797,centralizada (A Gasoil),es,Madrid,Moratalaz,e,2024-07-18 19:03:18,379000,2,C. de Arroyo de Fontarrón,4 dorm.,Sí,2 baños,1967,128.00,Comunidad De Madrid,venta,Señorial
"160,8 kWh/m&sup2; año",597760,,es,Madrid,Valdezarza,e,2024-10-31 12:22:22,265000,3 (planta media),Calle azuaga,4 dorm.,,1 baño,1950,72.00,Comunidad De Madrid,venta,Media
"159,5 kW h/m&sup2; año",596240,Independiente (Gas),es,Madrid,Valdezarza,e,2024-10-22 18:53:49,260000,3 (planta media),Calle azuaga,4 dorm.,,2 baños,1950,72.00,Comunidad De Madrid,venta,Media
"173,6 kWh/m&sup2; año",584843,Independiente (Gas),es,Madrid,Valdezarza,e,2024-06-04 18:14:21,280000,,Calle de Ofelia Nieto,3 dorm.,,1 baño,1950,72.00,Comunidad De Madrid,venta,Popular
346 kW h/m&sup2; año,478099,centralizada (Gas),es,Madrid,Plaza De España,g,2023-12-18 10:15:32,650000,1 (planta media),Calle Ventura Rodríguez,3 dorm.,Sí,2 baños,1978,135.00,Comunidad De Madrid,venta,Media
,583928,,es,Madrid,Plaza De España,,2024-05-29 17:17:27,1000000,,Calle Ponciano,8 dorm.,Sí,2 baños,1969,229.00,Comunidad De Madrid,venta,Popular
,599370,Independiente (Eléctrica),es,Alicante,Benalua,,2024-10-31 19:47:38,129000,3 (planta media),Calle Deportista Ángel Aznar,2 dorm.,,1 baño,1962,94.00,Comunidad Valenciana,venta,Popular
118 kW h/m&sup2; año,599838,,es,Alicante,Pla - Carolinas,e,2024-10-31 18:07:46,105000,1,C. San Pablo,3 dorm.,,1 baño,1964,60.00,Comunidad Valenciana,venta,Media
118 kW h/m&sup2; año,595468,,es,Alicante,Pla - Carolinas,e,2024-09-23 13:57:12,85000,3 (planta media),C. Enrique Monsonís Domingo,2 dorm.,,1 baño,1966,55.00,Comunidad Valenciana,venta,Popular
38 kWh/m&sup2; año,594072,centralizada (Eléctrica),es,Alicante,Pla - Carolinas,e,2024-09-19 18:10:06,156000,,Calle Lérida,3 dorm.,,2 baños,1982,91.00,Comunidad Valenciana,venta,Media
,597517,,es,Alicante,Benalua,,2024-10-28 10:01:41,195000,2,Plaza Navarro Rodrigo,,,,1963,92.00,Comunidad Valenciana,venta,Señorial
,585923,,es,Alicante,Benalua,,2024-07-26 19:10:35,165000,Media,Calle Alberola,3 dorm.,,2 baños,1974,112.00,Comunidad Valenciana,venta,Popular
,592877,Independiente,es,Alicante,Benalua,,2024-08-27 12:30:02,159000,2,Calle San Agatangelo,3 dorm.,,1 baño,1993,74.00,Comunidad Valenciana,venta,Popular
,599524,,es,Alicante,Pla - Carolinas,,2024-10-29 10:46:09,85000,,C. Dr. Sapena,3 dorm.,,,1962,73.00,Comunidad Valenciana,venta,Media
,597331,,es,Alicante,Tómbola,,2024-10-28 20:15:34,135000,Baja,Pl. Mediterraneo,3 dorm.,Sí,1 baño,1979,74.00,Comunidad Valenciana,venta,Media
,599483,,es,Alicante,Altozano - Campoamor,,2024-10-28 20:14:57,129000,1,C. Francisco Carratalá Cernuda,3 dorm.,,,1984,72.00,Comunidad Valenciana,venta,Popular
,599170,,es,Alicante,Altozano - Campoamor,,2024-10-28 20:15:00,129000,1 (planta baja),Pl. San Juan de Dios,3 dorm.,,,1964,89.00,Comunidad Valenciana,venta,Media
,598531,,es,Alicante,Babel - La Florida,,2024-10-28 10:08:10,109000,1 (planta media),C. León XIII,2 dorm.,,1 baño,1962,60.00,Comunidad Valenciana,venta,Popular
215 kW h/m&sup2; año,595893,,es,Alicante,Babel - La Florida,d,2024-10-28 10:17:33,104999,Planta baja,C. Jaime Niñoles,3 dorm.,,1 baño,1960,57.00,Comunidad Valenciana,venta,Señorial
203 kWh/m&sup2; año,598294,,es,Alicante,Virgen Del Remedio,g,2024-10-21 18:17:05,75000,,Carrer Granada,2 dorm.,,2 baños,1975,75.00,Comunidad Valenciana,venta,Media
,586883,,es,Alicante,San Blas,,2024-06-21 10:48:21,179900,,Calle Callosa de Segura,3 dorm.,Sí,2 baños,1975,92.00,Comunidad Valenciana,venta,Popular
,598859,,es,Valencia,Monteolivete - Waskman,,2024-10-25 20:05:52,120000,4 (planta alta),C/ de Montitxelvo,2 dorm.,,1 baño,1961,53.00,Comunidad Valenciana,venta,Popular
,595903,,es,Valencia,Nuevo Benicalap - Ciudad Fallera,,2024-10-07 18:12:04,155000,,C. Lorenzo Saiz,2 dorm.,,,2011,75.00,Comunidad Valenciana,venta,Popular
,599655,,es,Valencia,Jesus,,2024-10-31 14:30:21,187500,4,Calle Jerónima Galés,2 dorm.,Sí,1 baño,1967,79.00,Comunidad Valenciana,venta,Media
,599828,Independiente (Gas),es,Valencia,Jesus,,2024-10-31 14:31:15,197500,3,Calle Juan de Garay,2 dorm.,Sí,1 baño,1973,99.00,Comunidad Valenciana,venta,Media
,594574,,es,Valencia,Cabañal - Canyamelar,,2024-09-24 12:41:02,335000,4 (planta alta),Calle De La Reina,3 dorm.,Sí,1 baño,1957,98.00,Comunidad Valenciana,venta,Señorial
,599472,,es,Valencia,Cabañal - Canyamelar,,2024-10-31 13:52:25,165000,2 (planta media),C/ d'Osset,3 dorm.,,1 baño,1972,73.00,Comunidad Valenciana,venta,Media
,596963,,es,Valencia,Monteolivete - Waskman,,2024-10-14 19:33:49,190000,,Carrer de Planas,2 dorm.,,1 baño,1946,60.00,Comunidad Valenciana,venta,Popular
218 kWh/m&sup2; año,598521,,es,Valencia,Camins Al Grau,g,2024-10-27 11:12:44,186900,,Carrer dels Lleons,3 dorm.,Sí,1 baño,1967,79.00,Comunidad Valenciana,venta,Media
203 kW h/m&sup2; año,521196,,es,Valencia,Camins Al Grau,g,2024-10-27 11:12:51,217000,2 (planta media),Carrer de Peris Brell,2 dorm.,Sí,1 baño,1957,86.00,Comunidad Valenciana,venta,Señorial
,592139,,es,Valencia,El Grau,,2024-09-24 09:45:40,270000,3 (planta media),Calle Isaac Peral,4 dorm.,,2 baños,1980,103.00,Comunidad Valenciana,venta,Media
,595101,,es,Valencia,La Malvarrosa,,2024-09-23 09:47:12,230000,Baja,Pintor Ferrandis,3 dorm.,Sí,1 baño,1976,82.00,Comunidad Valenciana,venta,Media
,597794,,es,Valencia,Nuevo Benicalap - Ciudad Fallera,,2024-10-24 16:34:23,107500,,Calle Regino Mas,3 dorm.,,1 baño,1969,66.00,Comunidad Valenciana,venta,Señorial
,598719,,es,Valencia,Campanar - Nuevo Centro,,2024-10-24 15:55:21,245000,,Carrer del Monestir de Poblet,3 dorm.,Sí,1 baño,1965,87.00,Comunidad Valenciana,venta,Señorial
221 kWh/m&sup2; año,505779,,es,Valencia,L'Olivereta - Av Del Cid,g,2022-03-24 19:16:41,160000,1 (planta baja),Carrer de Manolo Taberner,4 dorm.,,1 baño,1967,85.00,Comunidad Valenciana,venta,Popular
,591502,,es,Valencia,Torrefiel,,2024-08-06 17:35:09,160000,,Carrer de Jacomart,3 dorm.,,1 baño,1977,87.00,Comunidad Valenciana,venta,Señorial
,584884,,es,Badajoz,San Fernando,,2024-06-06 13:11:08,82900,2 (planta media),Argüello Carvajal Teologo Siglo XVII,3 dorm.,,1 baño,1972,90.00,Extremadura,venta,Popular
,596265,,es,Badajoz,San Fernando,,2024-09-30 13:57:06,90000,,Av. Felipe Trigo,3 dorm.,Sí,2 baños,2000,113.00,Extremadura,venta,Media
,597104,,es,Badajoz,Ciudad Jardin,,2024-10-21 11:55:34,220000,1 (planta media),C. San Isidro,5 dorm.,,,1999,150.00,Extremadura,venta,Popular
,599564,,es,Badajoz,San Fernando,,2024-10-29 19:13:24,92500,7 (planta alta),C. Gabriel y Galán,3 dorm.,,2 baños,1979,84.00,Extremadura,venta,Popular
,591339,,es,Badajoz,San Fernando,,2024-10-29 17:58:36,92500,2 (planta media),Cardenal Cisneros,2 dorm.,Sí,2 baños,2006,72.00,Extremadura,venta,Popular
,598948,,es,Badajoz,San Fernando,,2024-10-25 19:28:39,35000,,C. Estremoz,3 dorm.,,1 baño,1975,75.00,Extremadura,venta,Media
,598741,,es,Badajoz,Estacion De Autobuses,,2024-10-22 11:54:37,92500,Baja,C. Suecia,3 dorm.,,1 baño,1999,90.00,Extremadura,venta,Popular
,598738,,es,Badajoz,Ciudad Jardin,,2024-10-22 13:52:57,87500,1 (planta media),C. Suecia,4 dorm.,,2 baños,1999,100.00,Extremadura,venta,Popular
,596581,,es,Badajoz,Estacion De Autobuses,,2024-10-18 17:35:09,89900,Media,El Mimbrero,3 dorm.,,1 baño,1990,90.00,Extremadura,venta,Popular
,597527,,es,Badajoz,San Roque,,2024-10-22 10:06:56,178900,,C. Santo Cristo de la Paz,4 dorm.,,2 baños,1994,130.00,Extremadura,venta,Señorial
,597877,,es,Badajoz,Corte De Peleas,,2024-10-16 13:51:21,199900,,Corte de Peleas,4 dorm.,,2 baños,2002,122.00,Extremadura,venta,Señorial
,598346,,es,Badajoz,Ciudad Jardin,,2024-10-18 17:28:24,92500,Media,Cardenal Cisneros,2 dorm.,,,2006,72.00,Extremadura,venta,De época
,597443,,es,Badajoz,Ciudad Jardin,,2024-10-09 20:11:57,269000,1 (planta media),Av. María Auxiliadora,3 dorm.,,,2008,132.00,Extremadura,venta,Popular
,595074,,es,Badajoz,San Fernando,,2024-09-18 19:21:42,102500,,C. Pintor Barjola,3 dorm.,Sí,1 baño,1976,94.00,Extremadura,venta,Media
,585547,,es,Badajoz,San Roque,,2024-06-10 19:13:23,145500,,C. de José Macón,2 dorm.,,1 baño,1998,111.00,Extremadura,venta,Popular
"116,9 kWh/m&sup2; año",590855,Independiente (Gas),es,Bilbao,Txurdinaga,e,2024-07-30 13:59:34,335000,8 (planta alta),Gabriel Aresti Hiribidea,3 dorm.,,2 baños,1981,105.00,País Vasco,venta,Popular
173 kW h/m&sup2; año,599702,Independiente (Gas),es,Bilbao,Otxarkoaga,e,2024-10-30 17:46:41,260000,Alta,Gárate Kalea,3 dorm.,,2 baños,2002,88.00,País Vasco,venta,Popular
,598659,,es,Bilbao,Txurdinaga,,2024-10-21 18:41:37,205000,4 (planta media),Julian Gaiarre Hiribidea,2 dorm.,Sí,1 baño,1995,75.00,País Vasco,venta,Popular
1000 kWh/m&sup2; año,598595,Independiente (Gas),es,Bilbao,Basarrate - Bolueta,c,2024-10-29 18:59:23,239000,Baja,Pintor Losada,2 dorm.,,2 baños,2000,83.00,País Vasco,venta,Media
189 kW h/m&sup2; año,599275,centralizada (Gas),es,Bilbao,Rekalde,e,2024-10-28 13:43:10,142826,Baja,Orbegozo Matilde Kalea,1 dorm.,Sí,1 baño,2008,55.00,País Vasco,venta,Media
,598472,centralizada,es,Bilbao,Santutxu,,2024-10-28 13:20:41,325000,Media,Miraflores Etorbidea,3 dorm.,,2 baños,1977,96.00,País Vasco,venta,Popular
137 kW h/m&sup2; año,599187,centralizada (Gas),es,Bilbao,Basarrate - Bolueta,e,2024-10-25 17:21:40,324990,,Miraflores Etorbidea,3 dorm.,,2 baños,1977,94.00,País Vasco,venta,De época
,595047,Independiente (Eléctrica),es,Bilbao,Solokoetxe,,2024-09-19 18:39:35,185000,4,Zabalbide Kalea,3 dorm.,Sí,1 baño,1949,63.00,País Vasco,venta,Popular
183 kW h/m&sup2; año,598447,Independiente (Eléctrica),es,Bilbao,Atxuri,e,2024-10-21 10:44:24,285000,3,Atxuri Kalea,3 dorm.,,2 baños,1965,135.00,País Vasco,venta,Popular
"188,8 kW h/m&sup2; año",596303,,es,Bilbao,La Peña,e,2024-09-30 19:12:33,180000,Alta,Bo. Olatxu,4 dorm.,Sí,,1984,105.00,País Vasco,venta,Popular
