Energy_Consumption,Reference,Heating,Country,City,Zone,Energy_Class,Publish_date,Sale_Price,Floor,Street,Bedrooms,Elevator,Bathrooms,Year_Construction,Surface,Autonomous_Community,Contrat,Property_Type
"209,5 kW h/m&sup2; año",591658,,es,Cordoba,Fatima,g,2024-08-08 10:12:42,90000,,Av. Virgen de Fátima,3 dorm.,,1 baño,1970,84.00,Andalucía,venta,Media
"214,4 kW h/m&sup2; año",599226,,es,Cordoba,Fatima,g,2024-10-28 10:37:48,95000,,Av. Virgen de Fátima,3 dorm.,,1 baño,1973,94.00,Andalucía,venta,Media
,599661,,es,Cordoba,Levante - Fidiana,,2024-10-30 10:43:45,79900,,Cronista Maraver 26,,,1 baño,1975,75.00,Andalucía,venta,Media
"57,75 kWh/m&sup2; año",592514,,es,Cordoba,Ciudad Jardin - Machaquito,d,2024-08-21 18:10:36,224900,4 (planta media),Avenida de los Mozarabes,3 dorm.,,,1986,105.00,Andalucía,venta,Señorial
,598358,,es,Cordoba,Santa Rosa,,2024-10-17 18:12:25,104900,1 (planta baja),C. Raimundo Lulio,3 dorm.,,,1978,94.00,Andalucía,venta,Popular
,598977,,es,Cordoba,Santa Rosa,,2024-10-28 19:21:00,149900,1 (planta baja),C. Pintor Arbasia,3 dorm.,,,1998,69.00,Andalucía,venta,Popular
,597787,,es,Cordoba,Santa Rosa,,2024-10-11 19:50:29,109900,Planta baja,C. Mariana Pineda,3 dorm.,,,1969,61.00,Andalucía,venta,Popular
,598967,,es,Cordoba,Ciudad Jardin - Machaquito,,2024-10-25 17:03:44,159900,3 (planta media),C. de la Prevision,3 dorm.,,,1975,63.00,Andalucía,venta,Popular
"44,76 kW h/m&sup2; año",599856,,es,Granada,Chana - Cerillo - Maracena,e,2024-10-31 21:08:49,145000,Baja,Calle Olimpia,3 dorm.,,,1970,73.00,Andalucía,venta,Popular
"160,6 kW h/m&sup2; año",573392,,es,Granada,Chana - Cerillo - Maracena,e,2024-10-31 19:50:04,112000,,C. Ledaña,3 dorm.,Sí,1 baño,1974,100.00,Andalucía,venta,Media
"213,8 kW h/m&sup2; año",588664,centralizada (Gas),es,Granada,Chana - Cerillo - Maracena,e,2024-10-31 19:49:30,249900,,Av. de Maracena,3 dorm.,,2 baños,2006,164.00,Andalucía,venta,Popular
"182,2 kW h/m&sup2; año",594201,,es,Granada,Chana - Cerillo - Maracena,e,2024-10-31 19:49:13,155900,,Calle Dr. Medina Olmos,3 dorm.,Sí,1 baño,1969,79.00,Andalucía,venta,Popular
"339,2 kW h/m&sup2; año",592863,,es,Granada,Chana - Cerillo - Maracena,g,2024-10-31 19:49:18,112900,,C. Alianza,3 dorm.,,1 baño,1966,63.00,Andalucía,venta,Popular
"199,39 kW h/m&sup2; año",580409,,es,Granada,Chana - Cerillo - Maracena,f,2024-10-31 19:49:50,79900,,C. Virgen del Monte,,,1 baño,1966,73.00,Andalucía,venta,Popular
"178,6 kW h/m&sup2; año",589568,centralizada (Gas),es,Granada,Chana - Cerillo - Maracena,e,2024-10-31 19:49:22,205000,,Av. Gloria Fuertes,2 dorm.,,1 baño,2006,76.00,Andalucía,venta,Señorial
00 kW h/m&sup2; año,597690,,es,Granada,Chana - Cerillo - Maracena,c,2024-10-31 19:49:04,172900,,Carretera de Málaga,,,2 baños,1990,84.00,Andalucía,venta,Señorial
"141,6 kWh/m&sup2; año",598343,,es,Granada,Cartuja - Traumatología,e,2024-10-31 11:40:26,109900,,C. Víctor Hugo,2 dorm.,,1 baño,1970,89.00,Andalucía,venta,Popular
"268,8 kWh/m&sup2; año",597989,,es,Granada,Cartuja - Traumatología,g,2024-10-31 11:40:29,35000,,Pje. de Teba,3 dorm.,,1 baño,1976,75.00,Andalucía,venta,Media
"172,2 kW h/m&sup2; año",597600,,es,Granada,Cartuja - Joaquina Eguaras,e,2024-10-15 20:47:28,54900,Baja,C. Joaquín Corral Almagro,2 dorm.,,1 baño,1970,70.00,Andalucía,venta,Media
,596918,,es,Granada,Chana - Villarejo - Barriada De La Cruz,,2024-10-31 17:16:54,130000,,C. Azor,,,1 baño,1960,78.00,Andalucía,venta,Popular
,598045,,es,Granada,Chana - Villarejo - Barriada De La Cruz,,2024-10-31 16:58:32,230000,,Av. de la Constitución,,,2 baños,1968,113.00,Andalucía,venta,Popular
,596247,,es,Granada,Chana - Villarejo - Barriada De La Cruz,,2024-10-31 16:45:28,90000,,C. Antonio Machado,2 dorm.,,,1960,60.00,Andalucía,venta,Popular
"97,63 kW h/m&sup2; año",596068,,es,Granada,Albayzín,d,2024-10-29 17:41:03,259900,,C. Cibeles,4 dorm.,Sí,2 baños,1967,116.00,Andalucía,venta,Popular
"142,59 kWh/m&sup2; año",597583,,es,Huelva,Fuentepiña - Poligono - Rosales - Pilar Balbueno,e,2024-10-22 19:48:20,95000,,Calle Sanlúcar de Guadiana,3 dorm.,,1 baño,1970,76.00,Andalucía,venta,Popular
,597654,,es,Huelva,Avenida Andalucia - Hispanidad,,2024-10-22 19:03:40,175000,3,C. Fenicios,2 dorm.,,,2008,83.00,Andalucía,venta,Popular
,595596,,es,Huelva,Huerto Paco,,2024-09-24 10:27:41,149900,,C. Villa Mundaka,3 dorm.,,1 baño,1975,90.00,Andalucía,venta,Popular
,598724,,es,Huelva,Orden - Santa Marta,,2024-10-22 12:59:17,94900,,C. Niágara,4 dorm.,,2 baños,1980,90.00,Andalucía,venta,Popular
326 kW h/m&sup2; año,597009,,es,Huelva,Avenida Andalucia - Hispanidad,g,2024-10-16 18:56:12,99900,,C. Hélice,3 dorm.,,1 baño,1968,70.00,Andalucía,venta,Popular
,599542,,es,Huelva,Matadero,,2024-10-29 12:48:51,52000,3,C. Arizona,2 dorm.,,1 baño,1954,49.00,Andalucía,venta,Media
,595025,,es,Huelva,Orden - Santa Marta,,2024-09-18 20:14:24,72900,,C. Río de la Plata,3 dorm.,,1 baño,1975,69.00,Andalucía,venta,Popular
,596365,,es,Huelva,Orden - Santa Marta,,2024-10-08 20:15:39,90000,,C. Condado,3 dorm.,,1 baño,1975,90.00,Andalucía,venta,Popular
,598544,,es,Huelva,Fuentepiña - Poligono - Rosales - Pilar Balbueno,,2024-10-19 10:43:25,104000,3,C. Río Guadalete,3 dorm.,Sí,2 baños,2008,146.00,Andalucía,venta,Popular
"108,5 kW h/m&sup2; año",597782,,es,Huelva,Fuentepiña - Poligono - Rosales - Pilar Balbueno,e,2024-10-18 11:53:13,129000,,Pl. Eugenio Hermoso,4 dorm.,,2 baños,1973,121.00,Andalucía,venta,Popular
"92,28 kW h/m&sup2; año",597818,,es,Huelva,Isla Chica - Viaplana,e,2024-10-21 13:14:06,105000,2,C. Manuel Sánchez,3 dorm.,,1 baño,1975,115.00,Andalucía,venta,Popular
,598562,,es,Huelva,Isla Chica - Viaplana,,2024-10-19 12:34:57,230000,9,Av. Alcalde Federico Molina Orta,3 dorm.,,3 baños,1987,180.00,Andalucía,venta,Señorial
,594230,,es,Huelva,Orden - Santa Marta,,2024-09-11 10:21:12,129900,,C. Río de la Plata,4 dorm.,Sí,2 baños,1974,104.00,Andalucía,venta,Popular
,573184,,es,Huelva,Las Colonias El Carmen,,2024-06-26 19:32:32,95000,,Paseo de la glorieta,3 dorm.,,1 baño,1967,77.00,Andalucía,venta,Media
,593726,,es,Huelva,Matadero,,2024-09-06 20:13:46,179900,,Av. Guatemala,4 dorm.,,2 baños,1989,114.00,Andalucía,venta,Popular
"231,19 kWh/m&sup2; año",597682,,es,Jaén,,e,2024-10-14 10:47:21,150000,,Carr. Puente de la Sierra,3 dorm.,Sí,,1974,86.00,Andalucía,venta,Popular
"208,22 kW h/m&sup2; año",541309,,es,Jaén,,e,2024-04-16 12:02:27,79000,,C. los Caños,3 dorm.,,1 baño,2015,91.00,Andalucía,venta,Media
"233,20 kW h/m&sup2; año",595888,,es,Jaén,,e,2024-10-07 19:19:52,87500,,Pl. San Juan de Dios,2 dorm.,,1 baño,2007,74.00,Andalucía,venta,Popular
,593108,Independiente (Eléctrica),es,Jaén,,,2024-09-02 20:43:43,100000,,C/ Juanito Valderrama,4 dorm.,,,1980,174.00,Andalucía,venta,De época
"190,5 kW h/m&sup2; año",596215,centralizada (Eléctrica),es,Jaén,,e,2024-10-01 19:24:44,179000,,Calle Martínez Montañés,3 dorm.,,2 baños,1950,108.00,Andalucía,venta,Señorial
,590090,,es,Jaén,,,2024-10-02 10:48:33,190000,1,C/Ben Saprut,4 dorm.,,2 baños,1998,102.00,Andalucía,venta,Media
"241,61 kWh/m&sup2; año",531521,,es,Jaén,,f,2023-01-19 13:05:55,69900,,Calle conserje enrique lopez,3 dorm.,,1 baño,1975,60.00,Andalucía,venta,Popular
,596048,,es,Jaén,Jaén,,2024-10-22 12:12:43,95800,Baja,Calle Hurtado,3 dorm.,,,1979,93.00,Andalucía,venta,Media
,592088,,es,Jaén,,,2024-09-26 20:33:47,75000,,Calle Arco del Consuelo,2 dorm.,,1 baño,1960,63.00,Andalucía,venta,Media
,592962,,es,Jaén,,,2024-09-05 19:16:10,124900,,Calle Hurtado,,Sí,1 baño,1977,81.00,Andalucía,venta,Popular
"207,61 kWh/m&sup2; año",580194,,es,Jaén,,e,2024-04-22 20:17:13,78000,1,Calle senda de los huertos,2 dorm.,Sí,1 baño,1988,85.00,Andalucía,venta,Media
,595245,,es,Jaén,Jaén,,2024-10-07 12:44:29,297000,,Plaza de la Constitución,,,,1980,220.00,Andalucía,venta,Popular
,308638,,es,Jaén,,,2024-03-15 12:08:21,54000,2,Calle Betania,2 dorm.,,1 baño,1960,69.00,Andalucía,venta,Popular
,595622,,es,Jaén,,,2024-10-02 12:40:43,83000,,Plaza Virgen de los Desamparados,3 dorm.,,,1977,78.00,Andalucía,venta,Media
,580277,,es,Jaén,,,2024-04-22 12:00:22,139900,,Calle tableron,2 dorm.,,2 baños,1963,91.00,Andalucía,venta,Popular
"114,23 kW h/m&sup2; año",598953,,es,Málaga,Eugenio Gross - Echevarria,e,2024-10-23 20:22:06,270000,,Pje. Begoña,3 dorm.,,2 baños,1970,111.00,Andalucía,venta,Media
"127,3 kWh/m&sup2; año",598525,,es,Málaga,Cristo De La Epidemia - Victoria,e,2024-10-18 20:00:01,289000,5 (planta alta),C. Manrique,3 dorm.,Sí,1 baño,1970,85.00,Andalucía,venta,Media
"102,8 kW h/m&sup2; año",580370,,es,Málaga,Fuenteolletas,e,2024-10-23 13:55:21,109000,1,Calle Obispo Juan de Eulate,2 dorm.,,1 baño,1965,49.00,Andalucía,venta,Popular
"90,0 kW h/m&sup2; año",575477,,es,Málaga,Fuenteolletas,e,2024-10-31 16:44:25,370000,1,Alameda de Capuchinos,4 dorm.,Sí,2 baños,1977,113.00,Andalucía,venta,Popular
"70,7 kW h/m&sup2; año",590793,,es,Málaga,Cristo De La Epidemia - Victoria,e,2024-09-20 19:09:38,218000,Baja,C. Conde de Ureña,3 dorm.,Sí,1 baño,1974,116.00,Andalucía,venta,Media
"81,25 kW h/m&sup2; año",594440,,es,Málaga,Jardín Botánico - Sagrada Família,e,2024-09-16 20:33:52,153000,,C. Alcalde Narciso Briales,3 dorm.,,1 baño,1970,68.00,Andalucía,venta,Popular
,596567,,es,Málaga,Miraflores De Los Angeles,,2024-10-08 12:24:26,129900,,Calle Genoveses,3 dorm.,,1 baño,1981,78.00,Andalucía,venta,Popular
"120,3 kW h/m&sup2; año",592134,,es,Málaga,Fuenteolletas,e,2024-08-14 18:20:14,178000,1,Calle Obispo Alonso de la Cueva,3 dorm.,,1 baño,1962,62.00,Andalucía,venta,De época
"0089,00 kW h/m&sup2; año",595921,,es,Málaga,Fuenteolletas,e,2024-09-26 11:44:11,198000,3 (planta alta),C. Tizo,2 dorm.,,1 baño,1992,87.00,Andalucía,venta,Media
"149,9 kW h/m&sup2; año",479261,,es,Málaga,Fuenteolletas,g,2024-06-14 10:17:02,229000,9,Av. Manuel Gorria,2 dorm.,Sí,2 baños,1971,74.00,Andalucía,venta,Señorial
"86,50 kW h/m&sup2; año",580612,,es,Málaga,Fuenteolletas,e,2024-09-13 10:23:38,275000,5,Alameda de Barceló,2 dorm.,Sí,1 baño,1996,113.00,Andalucía,venta,Media
"70,31 kW h/m&sup2; año",587950,,es,Málaga,Fuenteolletas,e,2024-07-05 13:30:44,205000,1 (planta media),Calle Amores,2 dorm.,,1 baño,1992,66.00,Andalucía,venta,Media
"89,0 kW h/m&sup2; año",590760,,es,Málaga,Fuenteolletas,e,2024-07-30 10:00:46,190000,1 (planta baja),C. Tizo,2 dorm.,,1 baño,1992,71.00,Andalucía,venta,Media
"115,5 kW h/m&sup2; año",591130,,es,Málaga,Fuenteolletas,e,2024-08-02 11:48:18,82000,4,Calle obispo franquis lasso,2 dorm.,,1 baño,1964,50.00,Andalucía,venta,Media
"130,3 kW h/m&sup2; año",591760,,es,Málaga,Fuenteolletas,e,2024-09-03 11:58:18,89000,3,Calle Obispo Franquis Lasso,2 dorm.,,1 baño,1965,49.00,Andalucía,venta,Media
,599787,,es,Sevilla,Sevilla Este - Zona Este,,2024-10-31 11:00:05,190000,2,Plaza de la Malagueta,3 dorm.,,2 baños,1992,94.00,Andalucía,venta,Media
