Referencia,zona,contrato,ascensor,calle,consumo_energia,dormitorios,precio_venta,ciudad,baños,planta/piso,tipo_inmueble,calefaccion,año_construcción,Comunidad Autonoma,Clase_energia,Pais,Fecha_publicación,Superficie
571671,La Rubia,alquiler,Sí,Paseo de Zorrilla,"186,66 kWh/m&sup2; año",2 dorm.,650,Valladolid,1 baño,,Popular,,1965,Castilla Y León,e,es,2024-01-29 20:10:46,66.00
598632,La Rubia,alquiler,Sí,Calle del Final,210 kW h/m&sup2; año,2 dorm.,730,Valladolid,1 baño,,Popular,Independiente,1990,Castilla Y León,e,es,2024-10-21 17:56:44,78.00
571622,4 Marzo - La Farola,alquiler,,Calle del Arzobispo Marcelo González,"614,2 kW h/m&sup2; año",,550,Valladolid,2 baños,,Popular,,1960,Castilla Y León,e,es,2024-10-21 20:37:07,110.00
582018,Hospital Militar,alquiler,,Calle Capuchinos,,,300,Valladolid,1 baño,Baja,Media,,1941,Castilla Y León,,es,2024-05-21 19:45:03,71.00
597823,Pajarillos ,alquiler,,Calle Urraca,,,90,Valladolid,,Sótano,Popular,,1983,Castilla Y León,,es,2024-10-14 13:42:45,15.00
596559,Parquesol,alquiler,Sí,Calle Manuel Azaña,197 kWh/m&sup2; año,3 dorm.,850,Valladolid,2 baños,5,Señorial,Independiente (Gas),2003,Castilla Y León,e,es,2024-10-02 11:38:27,140.00
590638,4 Marzo - La Farola,alquiler,,Calle Falla,,,450,Valladolid,1 baño,Planta baja,Popular,,1960,Castilla Y León,,es,2024-08-02 19:49:49,58.00
569791,Villa Del Prado,alquiler,,Monasterio santa maria de moreruela,,,35,Valladolid,,-1 (planta planta baja),Popular,,2006,Castilla Y León,,es,2024-01-12 20:20:33,24.00
577026,La Rubia,alquiler,,Calle Dr. Moreno,,2 dorm.,350,Valladolid,1 baño,,Popular,,1978,Castilla Y León,,es,2024-04-04 18:04:03,46.00
579077,La Rubia,alquiler,,Calle Dr. Moreno,,4 dorm.,600,Valladolid,1 baño,,Popular,,1972,Castilla Y León,,es,2024-04-09 18:16:56,183.00
573462,Parquesol,alquiler,,C. Prof. Adolfo Miaja de la Muela,305 kWh/m&sup2; año,1 dorm.,1100,Valladolid,2 baños,Baja,Popular,Independiente (Aéreo Termo),1996,Castilla Y León,d,es,2024-02-14 17:42:50,120.00
578296,Parquesol,alquiler,,C. Prof. Adolfo Miaja de la Muela,,1 dorm.,65,Valladolid,,Sótano,Popular,,1990,Castilla Y León,,es,2024-04-02 20:59:52,34.00
570739,Huerta Del Rey,alquiler,,Calle del Monasterio Sta. Isabel,,,40,Valladolid,,-1 (planta planta baja),Media,,2007,Castilla Y León,,es,2024-02-07 20:24:45,20.00
572967,Delicias,alquiler,,C. Gerona,,,330,Valladolid,1 baño,,Media,,1990,Castilla Y León,,es,2024-02-27 19:39:29,25.00
