Reference,Bathrooms,Contrat,Energy_Class,Sale_Price,Property_Type,Year_Construction,Surface,Energy_Consumption,Elevator,Publish_date,Floor,Street,Heating,City,Country,Autonomous_Community,Bedrooms,Zone
571671,1 baño,alquiler,e,650,Popular,1965,66.00,"186,66 kWh/m&sup2; año",Sí,2024-01-29 20:10:46,,Paseo de Zorrilla,,Valladolid,es,Castilla Y León,2 dorm.,La Rubia
598632,1 baño,alquiler,e,730,Popular,1990,78.00,210 kW h/m&sup2; año,Sí,2024-10-21 17:56:44,,Calle del Final,Independiente,Valladolid,es,Castilla Y León,2 dorm.,La Rubia
571622,2 baños,alquiler,e,550,Popular,1960,110.00,"614,2 kW h/m&sup2; año",,2024-10-21 20:37:07,,Calle del Arzobispo Marcelo González,,Valladolid,es,Castilla Y León,,4 Marzo - La Farola
582018,1 baño,alquiler,,300,Media,1941,71.00,,,2024-05-21 19:45:03,Baja,Calle Capuchinos,,Valladolid,es,Castilla Y León,,Hospital Militar
597823,,alquiler,,90,Popular,1983,15.00,,,2024-10-14 13:42:45,Sótano,Calle Urraca,,Valladolid,es,Castilla Y León,,Pajarillos 
590638,1 baño,alquiler,,450,Popular,1960,58.00,,,2024-08-02 19:49:49,Planta baja,Calle Falla,,Valladolid,es,Castilla Y León,,4 Marzo - La Farola
577026,1 baño,alquiler,,350,Popular,1978,46.00,,,2024-04-04 18:04:03,,Calle Dr. Moreno,,Valladolid,es,Castilla Y León,2 dorm.,La Rubia
579077,1 baño,alquiler,,600,Popular,1972,183.00,,,2024-04-09 18:16:56,,Calle Dr. Moreno,,Valladolid,es,Castilla Y León,4 dorm.,La Rubia
578296,,alquiler,,65,Popular,1990,34.00,,,2024-04-02 20:59:52,Sótano,C. Prof. Adolfo Miaja de la Muela,,Valladolid,es,Castilla Y León,1 dorm.,Parquesol
570739,,alquiler,,40,Media,2007,20.00,,,2024-02-07 20:24:45,-1 (planta planta baja),Calle del Monasterio Sta. Isabel,,Valladolid,es,Castilla Y León,,Huerta Del Rey
572967,1 baño,alquiler,,330,Media,1990,25.00,,,2024-02-27 19:39:29,,C. Gerona,,Valladolid,es,Castilla Y León,,Delicias
