Referencia,zona,contrato,ascensor,calle,consumo_energia,dormitorios,precio_venta,ciudad,baños,planta/piso,tipo_inmueble,calefaccion,año_construcción,Comunidad Autonoma,Clase_energia,Pais,Fecha_publicación,Superficie
591658,Fatima,venta,,Av. Virgen de Fátima,"209,5 kW h/m&sup2; año",3 dorm.,90000,Cordoba,1 baño,,Media,,1970,Andalucía,g,es,2024-08-08 10:12:42,84.00
599226,Fatima,venta,,Av. Virgen de Fátima,"214,4 kW h/m&sup2; año",3 dorm.,95000,Cordoba,1 baño,,Media,,1973,Andalucía,g,es,2024-10-28 10:37:48,94.00
599661,Levante - Fidiana,venta,,Cronista Maraver 26,,,79900,Cordoba,1 baño,,Media,,1975,Andalucía,,es,2024-10-30 10:43:45,75.00
592514,Ciudad Jardin - Machaquito,venta,,Avenida de los Mozarabes,"57,75 kWh/m&sup2; año",3 dorm.,224900,Cordoba,,4 (planta media),Señorial,,1986,Andalucía,d,es,2024-08-21 18:10:36,105.00
598358,Santa Rosa,venta,,C. Raimundo Lulio,,3 dorm.,104900,Cordoba,,1 (planta baja),Popular,,1978,Andalucía,,es,2024-10-17 18:12:25,94.00
598977,Santa Rosa,venta,,C. Pintor Arbasia,,3 dorm.,149900,Cordoba,,1 (planta baja),Popular,,1998,Andalucía,,es,2024-10-28 19:21:00,69.00
597787,Santa Rosa,venta,,C. Mariana Pineda,,3 dorm.,109900,Cordoba,,Planta baja,Popular,,1969,Andalucía,,es,2024-10-11 19:50:29,61.00
598967,Ciudad Jardin - Machaquito,venta,,C. de la Prevision,,3 dorm.,159900,Cordoba,,3 (planta media),Popular,,1975,Andalucía,,es,2024-10-25 17:03:44,63.00
599856,Chana - Cerillo - Maracena,venta,,Calle Olimpia,"44,76 kW h/m&sup2; año",3 dorm.,145000,Granada,,Baja,Popular,,1970,Andalucía,e,es,2024-10-31 21:08:49,73.00
573392,Chana - Cerillo - Maracena,venta,Sí,C. Ledaña,"160,6 kW h/m&sup2; año",3 dorm.,112000,Granada,1 baño,,Media,,1974,Andalucía,e,es,2024-10-31 19:50:04,100.00
588664,Chana - Cerillo - Maracena,venta,,Av. de Maracena,"213,8 kW h/m&sup2; año",3 dorm.,249900,Granada,2 baños,,Popular,centralizada (Gas),2006,Andalucía,e,es,2024-10-31 19:49:30,164.00
594201,Chana - Cerillo - Maracena,venta,Sí,Calle Dr. Medina Olmos,"182,2 kW h/m&sup2; año",3 dorm.,155900,Granada,1 baño,,Popular,,1969,Andalucía,e,es,2024-10-31 19:49:13,79.00
592863,Chana - Cerillo - Maracena,venta,,C. Alianza,"339,2 kW h/m&sup2; año",3 dorm.,112900,Granada,1 baño,,Popular,,1966,Andalucía,g,es,2024-10-31 19:49:18,63.00
580409,Chana - Cerillo - Maracena,venta,,C. Virgen del Monte,"199,39 kW h/m&sup2; año",,79900,Granada,1 baño,,Popular,,1966,Andalucía,f,es,2024-10-31 19:49:50,73.00
589568,Chana - Cerillo - Maracena,venta,,Av. Gloria Fuertes,"178,6 kW h/m&sup2; año",2 dorm.,205000,Granada,1 baño,,Señorial,centralizada (Gas),2006,Andalucía,e,es,2024-10-31 19:49:22,76.00
